date,close,volume,coffeePrice
2017-08-09,53.74,16717719,1.4265
2017-08-10,53.07,13235301,1.385
2017-08-11,53.18,9235033,1.403
2017-08-14,53.22,7426467,1.3695
2017-08-15,53.15,6674597,1.32
2017-08-16,53.5,7667081,1.3095
2017-08-17,53.04,7451679,1.2845
2017-08-18,52.7,10370499,1.2805
2017-08-21,53.15,12753196,1.264
2017-08-22,54.45,14547613,1.2585
2017-08-23,54.08,11838533,1.2625
2017-08-24,53.94,8716699,1.267
2017-08-25,54.36,8601120,1.302
2017-08-28,54.4,6643652,1.3019
2017-08-29,54.1,6212403,1.2784
2017-08-30,54.52,5596567,1.277
2017-08-31,54.86,8245287,1.2911
2017-09-01,54.93,7696302,1.2905
2017-09-05,55.13,9178048,1.2785
2017-09-06,54.31,11372298,1.279
2017-09-07,53.47,13801890,1.2915
2017-09-08,53.49,11774483,1.3065
2017-09-11,54.02,9314079,1.3185
2017-09-12,53.54,10339446,1.3505
2017-09-13,54.29,12787883,1.3785
2017-09-14,54.53,8260770,1.3765
2017-09-15,54.67,10744783,1.414
2017-09-18,54.69,6348360,1.4035
2017-09-19,54.62,5187121,1.3535
2017-09-20,55.15,7080035,1.3655
2017-09-21,55.01,7178462,1.35
2017-09-22,55.09,6950029,1.3445
2017-09-25,54.95,10242655,1.3155
2017-09-26,55.13,8021851,1.3225
2017-09-27,54.99,8671309,1.2935
2017-09-28,54.5,7607473,1.285
2017-09-29,53.71,11944370,1.2805
2017-10-02,53.81,5955980,1.272
2017-10-03,53.99,6137069,1.2545
2017-10-04,53.93,5569058,1.2515
2017-10-05,54.6,7994274,1.272
2017-10-06,55.17,10576278,1.3
2017-10-09,55.02,5822893,1.3095
2017-10-10,55.42,6573918,1.31
2017-10-11,55.64,8881897,1.268
2017-10-12,55.97,7234267,1.2635
2017-10-13,55.72,6231132,1.2645
2017-10-16,54.91,7256893,1.2375
2017-10-17,54.51,11227337,1.2415
2017-10-18,55.21,8299509,1.243
2017-10-19,55.4,5720179,1.2685
2017-10-20,54.57,11741092,1.2525
2017-10-23,54.27,10111071,1.2435
2017-10-24,54.28,7818490,1.232
2017-10-25,54.16,8281219,1.241
2017-10-26,54.91,12211440,1.2455
2017-10-27,54.88,9922611,1.266
2017-10-30,55.17,6430949,1.259
2017-10-31,54.84,8857829,1.251
2017-11-01,55.13,7189764,1.2295
2017-11-02,54.87,16879022,1.264
2017-11-03,56.03,28773774,1.2395
2017-11-06,56.57,10835659,1.2555
2017-11-07,57.22,11167447,1.247
2017-11-08,57.91,13326418,1.2575
2017-11-09,57.36,14758907,1.264
2017-11-10,57.04,7930318,1.2755
2017-11-13,56.64,7648192,1.276
2017-11-14,56.93,7758215,1.2705
2017-11-15,56.7,8880505,1.2675
2017-11-16,57.24,8310611,1.267
2017-11-17,56.93,6311519,1.238
2017-11-20,56.81,6360086,1.229
2017-11-21,57.26,6284259,1.2385
2017-11-22,57.14,7309073,1.2455
2017-11-24,56.8,3479177,1.248
2017-11-27,55.91,10580296,1.2608
2017-11-28,56.66,9734431,1.2841
2017-11-29,57.51,10017914,1.3116
2017-11-30,57.82,11509224,1.2806
2017-12-01,57.32,12756391,1.2955
2017-12-04,58.76,13302050,1.285
2017-12-05,59.34,11295644,1.274
2017-12-06,59.28,8458198,1.261
2017-12-07,59.14,6033792,1.229
2017-12-08,58.61,9950491,1.226
2017-12-11,59.07,10286560,1.2
2017-12-12,59.27,6042917,1.1845
2017-12-13,59.49,7726299,1.201
2017-12-14,59.7,8946111,1.203
2017-12-15,58.29,22595018,1.2075
2017-12-18,58.03,8751620,1.219
2017-12-19,58.01,7946435,1.2175
2017-12-20,57.73,7188717,1.2315
2017-12-21,57.58,5974474,1.2225
2017-12-22,57.3,7148723,1.204
2017-12-26,57.14,5546208,1.222
2017-12-27,57.27,4812173,1.245
2017-12-28,57.81,5044505,1.248
2017-12-29,57.43,5365646,1.262
2018-01-02,57.63,7215978,1.302
2018-01-03,58.71,7478356,1.286
2018-01-04,58.93,5775921,1.2955
2018-01-05,59.61,6047686,1.2845
2018-01-08,59.31,6335782,1.2515
2018-01-09,59.18,5233353,1.2515
2018-01-10,59.82,8656454,1.2395
2018-01-11,60.0,5806282,1.228
2018-01-12,60.4,6989075,1.2225
2018-01-16,60.56,8040748,1.2045
2018-01-17,60.66,8433771,1.231
2018-01-18,61.09,9170903,1.211
2018-01-19,61.26,8361853,1.2125
2018-01-22,61.41,11945783,1.2255
2018-01-23,61.69,10806783,1.2095
2018-01-24,60.83,11911867,1.225
2018-01-25,60.55,16225618,1.2365
2018-01-26,57.99,51851690,1.2515
2018-01-29,57.02,18899867,1.2495
2018-01-30,57.19,14341155,1.223
2018-01-31,56.81,13118364,1.2185
2018-02-01,56.0,14690146,1.214
2018-02-02,55.77,15358909,1.204
2018-02-05,54.69,16059955,1.198
2018-02-06,55.61,17415065,1.2285
2018-02-07,54.46,13927022,1.233
2018-02-08,53.77,17736671,1.2285
2018-02-09,54.58,19382011,1.2185
2018-02-12,55.38,10968956,1.214
2018-02-13,55.67,10416385,1.2275
2018-02-14,55.99,14190323,1.228
2018-02-15,56.58,10294949,1.2175
2018-02-16,56.48,10151328,1.1795
2018-02-20,55.97,9450906,1.182
2018-02-21,56.1,7850950,1.1695
2018-02-22,55.4,10172399,1.196
2018-02-23,56.14,11394350,1.1976
2018-02-26,57.17,8713847,1.2106
2018-02-27,56.57,8821414,1.2064
2018-02-28,57.1,11541059,1.2181
2018-03-01,56.17,11127627,1.2395
2018-03-02,56.93,11555132,1.222
2018-03-05,56.99,7835398,1.211
2018-03-06,57.03,8046794,1.2125
2018-03-07,57.03,7044099,1.2075
2018-03-08,57.47,7434706,1.203
